age,xco2,xco2_16pc,xco2_84pc
40169,1628.61428356991,1362.18011204797,1900.77710203826
40244,956.707693088267,800.767921715804,1112.57804697546
40250.2,953.186064917783,798.310169877834,1108.26379278896
40250.6367345099,1119.99222547205,937.342900369451,1302.53192404941
40300,830.077180230871,694.072979881383,966.107981714059
40309,975.009224475517,816.020820226891,1133.96566442407
40338,1135.77090316899,950.55072290589,1320.80777903972
40378,949.879283363396,794.726021884938,1105.15324331706
40394.1,978.517342050086,818.673210640231,1138.27502096313
40517,1009.9135974826,844.502100022544,1175.19290303216
40517.2,950.672113803689,795.506830421201,1106.00418895254
40629,1090.79478761073,912.317539124735,1269.33615842405
40648.9,922.465883154142,771.179336524611,1073.53017444255
40810,1068.30683028027,893.273548503759,1244.05424970137
40917.7992652196,1008.52983595501,842.405720831666,1174.61205186277
40921,963.297351159665,804.811638951779,1122.00514092921
40933,1059.96724908963,885.675349573205,1233.64718611878
41012.3,1121.61186015179,937.282400317602,1306.0670136666
41130,908.982111386687,758.607248471148,1058.87154318199
41467.7575675615,1079.02106803476,899.963763145911,1259.32458905757
41530,927.916499053142,773.398695813593,1081.89452571599
41796,910.814567038122,758.827172795259,1062.49338751112
42387.359974756,1014.90957989834,844.641816991917,1184.36439948375
43068.0460702775,1048.05192424489,870.359744318821,1225.31713020189
43068.0460702775,1080.01889935402,897.280770429528,1261.88403136904
43383.5959158834,981.201955522099,814.610507964771,1147.13288859076
43744.2243108617,1163.2079807078,965.565874132637,1359.72333626745
43763,1106.52152942976,917.764612660415,1295.50696495518
44400,953.310318749346,789.802604098985,1117.91453096764
44537.6067798138,1135.16564378774,939.374278106844,1330.29746157324
44825,1042.50174089611,862.280806900753,1222.34649476733
44873.4419726373,1081.80178632153,894.22598396276,1268.70503903017
44873.4419726373,1109.93713340889,918.041295976335,1301.2426779431
44873.4419726373,1010.26649131146,835.382356022468,1184.10694055037
44873.4419726373,948.376506964713,783.71407307393,1112.58199878092
45204.7693105236,1062.44958300736,878.155138197963,1245.83940537006
